IDX,SHORT_Q,EW_5,EW_50,EW_95,EW_MEAN,COOKE_5,COOKE_50,COOKE_95,COOKE_MEAN,PARENT
1,"Next eruption, rhyolitic magma",2.330120627919519,12.590872980923354,46.81150509564899,17.08289193762771,1.5928389459214092,8.784019902118798,30.82889671115534,11.457261576403006,-2
2,"Next eruption, andesitic magma",53.188494904351,87.40912701907664,97.66987937208047,82.9171080623723,69.17110328884466,91.2159800978812,98.40716105407859,88.542738423597,-2
3,"Next eruption, rhyolitic magma, SubPlinian eruption",11.288297192671221,44.741565163950696,77.47213227876736,44.718217989767645,13.926177122224058,47.65478388688334,76.58339339849609,46.978923153177256,1
4,"Next eruption, rhyolitic magma, Plinian eruption",6.427254529399578,33.893457772581144,69.88759123519968,35.26814870893553,9.273260792450781,34.631924094727964,68.37918253634018,36.215687698667494,1
5,"Next eruption, rhyolitic magma, other eruption type",3.153453959508161,14.229186971373405,53.75992867774305,20.01363330129683,2.985003826851493,11.554246567388052,48.66086332857133,16.805389148155257,1
6,"Next eruption, andesitic magma, Hydrovolcanic/Continuos ash emission eruption",9.638279047012045,36.02203356461979,64.60680356262371,36.37231338387585,20.888109563531696,50.81704020377068,75.19654051535124,49.89325283424978,2
7,"Next eruption, andesitic magma, Violent Strombolian eruption",4.947784040330365,23.55711008672487,53.249767167741695,25.388692612093816,2.855633888856872,18.05476296320458,46.44513869515894,20.589558419836568,2
8,"Next eruption, andesitic magma, SubPlinian eruption",3.2425073653400243,15.433750406110796,44.832944545879506,18.616099280000046,2.446900779126124,11.78152259857511,33.84962278740109,14.25537553874181,2
9,"Next eruption, andesitic magma, Plinian eruption",0.9154658837063353,6.455414682028977,36.614206612239926,10.565933464029298,0.6321561626992073,5.048534286026518,21.612726693017823,7.378473549058391,2
10,"Next eruption, andesitic magma, other eruption type",1.0105035512429061,4.953049708363212,32.59680627295418,9.056961260000989,0.6672991888019463,4.525021057458709,26.580612453781438,7.883339658113453,2
11,"Next 100 years, rhyolitic magma",0.6920175796601334,16.739749022744185,65.4807062051217,22.620107717673363,0.3611828839683743,17.404214717491477,60.901452490135604,22.2492592298198,-1
12,"Next 100 years, andesitic magma",40.90247513672833,82.94846843551369,97.601835735609,78.33168855314959,38.71478361656966,84.14029890298015,97.89668022196952,78.19888820065759,-1
13,"Next 100 years, rhyolitic magma, SubPlinian eruption",5.520609130503209,49.574316325975076,91.29801557123703,49.42625683264297,10.35620591514098,48.42199039714758,85.25559067990012,48.484852447965416,11
14,"Next 100 years, rhyolitic magma, Plinian eruption",2.8568388803045472,40.754775407775114,87.29138934810436,42.64817340368892,5.443719655230248,44.73291524807139,88.14829900814087,47.65622978403449,11
15,"Next 100 years, rhyolitic magma, other eruption type",1.7215372190627145,12.071917926119674,75.94499543568838,20.52120173613747,1.493395295582227,9.835970708453543,68.51489132174666,16.74164997149912,11
16,"Next 100 years, andesitic magma, Hydrovolcanic/Continuos ash emission eruption",13.58718895176687,60.48858108529109,93.37265370467055,57.556223959280786,17.79350116647836,75.11724247345603,93.70796845429699,66.51717369172408,12
17,"Next 100 years, andesitic magma, Violent Strombolian eruption",12.325860820762152,52.86288247042424,90.56835004335865,50.38131567286589,12.696112935999368,62.44616781094673,93.04747203793016,58.72743013816584,12
18,"Next 100 years, andesitic magma, SubPlinian eruption",5.28433347063253,29.65752752240346,79.93403022439497,34.387045956053434,7.061694994489803,39.8041230427465,85.2757322210331,41.48403125220012,12
19,"Next 100 years, andesitic magma, Plinian eruption",1.5072853508421684,14.945467208098702,57.840871596264996,19.934262323205722,2.2577953589778037,19.583640172621912,46.25461062737401,21.25129733188668,12
20,"Next 100 years, andesitic magma, other eruption type",1.2554859237981357,10.726007025292098,56.67681740719213,17.221209366846637,1.7519844227844354,9.422841543204807,42.773025397513216,13.630461584736778,12
21,"SubPlinian rhyolitic, duration",9.126578839796744,191.3741418501599,3885.354151819594,171.11690656246074,17.74271549404989,147.25010291043606,5477.049465481827,187.2734300931121,-1
22,"SubPlinian rhyolitic, total mass fallout",306977.5854042718,34988425611.88193,783267933862.4052,12579395102.751062,3253283688.341112,50151999860.04757,728122256872.3594,49766328926.2346,-1
23,"SubPlinian rhyolitic, average plume height",1539.972903391096,16941.304474869597,28166.526283059502,13783.396684395033,6674.525200684011,16085.389430331097,24959.24788409068,14799.425507220123,-1
24,"Plinian rhyolitic, duration",13.944558029316076,319.5178227123167,9299.599193400969,284.65283175744895,28.489392247192452,329.06146359257957,11275.700854064191,341.51715348457077,-1
25,"Plinian rhyolitic, total mass fallout",1013597.7676584873,499834260589.6,37785779721803.9,172535151379.74603,24352771335.50856,408182888924.88635,6338227511140.485,425941643575.7857,-1
26,"Plinian rhyolitic, average plume height",6269.650393465182,26346.032761997034,41560.60659357889,22343.2899295929,11237.835541030548,24846.314136925706,38810.355700719105,23539.65376737704,-1
27,"Hydrovolcanic/Continuos ash emission andesitic, duration",33.0729285889481,43398.2792237207,753008.8621045926,17467.060245725443,291.0439374072449,46329.160651787424,1189469.5277671295,35824.63977870969,-1
28,"Hydrovolcanic/Continuos ash emission andesitic, total mass fallout",13050.362752194767,849410040.5000389,62895024316.36527,193523423.01341754,166153.24628236674,770670585.8398232,93425620215.84393,423137673.35661054,-1
29,"Hydrovolcanic/Continuos ash emission andesitic, average plume height",218.9820442994096,3002.44453659837,12711.303031852782,2656.964323474002,331.92179864348043,3972.317441177438,13313.05560984556,3253.3819957622777,-1
